"","company","rank","revenues","profits","employees","sector","city","state","ceo_founder","ceo_woman","profitable","market_cap","website","ticker","assets"
"394","Toll Brothers",394,"$9994.9MM","$1372.1MM",4800,"Engineering & Construction","Fort Washington","Pennsylvania","no","no","yes","$13476.5MM","https://www.tollbrothers.com","TOL","$12527MM"
"395","Motorola Solutions",395,"$9978MM","$1709MM",21000,"Technology","Chicago","Illinois","no","no","yes","$59141.7MM","https://www.motorolasolutions.com","MSI","$13336MM"
"396","Airbnb",396,"$9917MM","$4792MM",6907,"Technology","San Francisco","California","yes","no","yes","$106739.8MM","https://www.airbnb.com","ABNB","$20645MM"
"397","Intercontinental Exchange",397,"$9903MM","$2368MM",13222,"Financials","Atlanta","Georgia","yes","no","yes","$78694.7MM","https://www.ice.com","ICE","$136084MM"
"398","News Corp.",398,"$9879MM","$149MM",25000,"Media","New York","New York","no","no","yes","$15120.1MM","https://www.newscorp.com","NWSA","$16921MM"
"399","Chipotle Mexican Grill",399,"$9871.6MM","$1228.7MM",116068,"Hotels, Restaurants & Leisure","Newport Beach","California","no","no","yes","$79707MM","https://www.chipotle.com","CMG","$8044.4MM"
"400","Vertex Pharmaceuticals",400,"$9869.2MM","$3619.6MM",5400,"Health Care","Boston","Massachusetts","no","yes","yes","$107975.3MM","https://www.vrtx.com","VRTX","$22730.2MM"
"401","Biogen",401,"$9835.6MM","$1161.1MM",7570,"Health Care","Cambridge","Massachusetts","no","no","yes","$31344.1MM","https://www.biogen.com","BIIB","$26844.8MM"
"402","GXO Logistics",402,"$9778MM","$229MM",109000,"Transportation","Greenwich","Connecticut","no","no","yes","$6411.5MM","https://www.gxo.com","GXO","$9507MM"
"403","SpartanNash",403,"$9729.2MM","$52.2MM",13500,"Wholesalers","Grand Rapids","Michigan","no","no","yes","$699.6MM","https://www.spartannash.com","SPTN","$2355.6MM"
"404","Burlington Stores",404,"$9727.5MM","$339.6MM",44050,"Retailing","Burlington","New Jersey","no","no","yes","$14841.4MM","https://www.burlingtoninvestors.com","BURL","$7706.8MM"
"405","Thrivent Financial for Lutherans",405,"$9720.3MM","$347.2MM",3810,"Financials","Minneapolis","Minnesota","no","yes","yes","$NAMM","https://www.thrivent.com","","$115628.7MM"
"406","NVR",406,"$9687.3MM","$1591.6MM",6300,"Engineering & Construction","Reston","Virginia","no","no","yes","$25904.2MM","https://www.nvrinc.com","NVR","$6601.8MM"
"407","Owens Corning",407,"$9677MM","$1196MM",18000,"Materials","Toledo","Ohio","no","no","yes","$14510.2MM","https://www.owenscorning.com","OC","$11237MM"
